CompoundGroup,ParentCompound_name,CHEBI_key,INCHI_key,CAS_numer,Biomarker_name,Biomarker_abbreviation,Biomarker_varname,BWB = Blood-whole blood (µg/L),BP = Blood-plasma (µg/L),BS = Blood-serum (µg/L),RBC = Red blood cells (µg/L),VAMS = Volumetric absorptive microsample (µg/L),CBWB = Cord blood-whole blood (µg/L),CBP = Cord blood-plasma (µg/L),CBS = Cord blood-serum (µg/L),AF = Amniotic Fluid (µg/L),PLT = Placenta tissue (ng/g),US = Urine- random spot (µg/L),UD = Urine-24h (µg/L),UM = Urine-first morning urine (µg/L),STL = Stool (ng/g),BM = Breast milk (µg/L),SEM = Semen (µg/L),SA = Saliva (µg/L),SPT = Sputum (µg/L),H = Hair (ng/g),TN = Toe nail (ng/g),FN = Finger nail (ng/g),ADI = Adipose Tissue/Fat (µg/L),EBC = Exhaled breath condensate (µg/L),DW = Dermal wipes (µg/cm2),SW = Surface wipe (µg/cm2)
Pesticides,2-(4-chloro-2-methylphenoxy)acetic acid,,WHKUVVPPKQRRBV-UHFFFAOYSA-N,,2-(4-chloro-2-methylphenoxy)acetic acid,MCPA,mcpa,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Naphthalene,,,,"2-,6-dimethylnaphthalene","2-,6-DMN",dmnap,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,2-[4-[3-chloro-5-(trifluoromethyl)pyridin-2-yl]oxyphenoxy]propanoic acid,,GOCUAJYOYBLQRH-UHFFFAOYSA-N,,2-[4-[3-chloro-5-(trifluoromethyl)pyridin-2-yl]oxyphenoxy]propanoic acid,Haloxyfop,haloxyfop,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,2-[4-[5-(trifluoromethyl)pyridin-2-yl]oxyphenoxy]propanoic acid,,YUVKUEAFAVKILW-UHFFFAOYSA-N,,2-[4-[5-(trifluoromethyl)pyridin-2-yl]oxyphenoxy]propanoic acid,Fluazifop,fluazifop,,,,,,,,,,,,,,,,,,,,,,,,,
Per-/poly-fluorinated compounds (PFASs),,,YGKAWLSSJSOXNM-UHFFFAOYSA-N,715646-50-7,"2-[methyl(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexylsulfonyl)amino]acetic acid",MeFHxSAA,mefhxsaa,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Anthracene,,,,2-Hydroxyanthracene,2-ANT,ohan,,,,,,,,,,,,,,,,,,,,,,,,,
Glycol ethers,2-(2-(2-butoxyethoxy)ethoxy)ethanol;2-(2-butoxyethoxy)ethanol;2-butoxyethanol,CHEBI:173542,,2516-93-0,2-butoxyacetic acid,BAA,baac,,,,,,,,,,,,,,,,,,,,,,,,,
Herbicides,"2-Chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)acetamide",CHEBI:2533,,15972-60-8,"2-Chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)acetamide",Alachlor,alchlor,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Pirimiphos-methyl,CHEBI:38844,,42487-72-9,2-Diethylamino-6-hydroxy-4-methylpyrimidine,DEAMPY,deampy,,,,,,,,,,,,,,,,,,,,,,,,,
Glycol ethers,"1,2-diethoxyethane;2-(2-(2-ethoxyethoxy)ethoxy)ethanol;2-(2-ethoxyethoxy)ethanol;2-ethoxyethanol;Bis(2-ethoxyethyl) ether",CHEBI:173365,,627-03-2,2-ethoxyacetic acid,EAA,eaa,,,,,,,,,,,,,,,,,,,,,,,,,
